"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.43179",122.704217383507,3.32435591694322,0.639727881228662,5.19651560372585,2.03058564317876e-07,0.0246261851275707
"MSTRG.37305",198.877666564171,3.93783360793228,0.732035087237053,5.37929626132402,7.4777566135477e-08,0.0172742956348164
"MSTRG.38305",776.159750795296,4.70107417137274,0.633118367112014,7.42526897903281,1.1255095395374e-13,0.00011447097089473
"MSTRG.46733",683.317686035102,-1.82471863199228,0.329575270344605,-5.5365763034476,3.08441496678888e-08,0.0125285242981957
"MSTRG.11051",412.49554272285,2.45860142095506,0.54928403036617,4.47601110725188,7.60505299011228e-06,0.0827550844918836
"MSTRG.58308",465.325283667219,-1.6719081136098,0.327210772015448,-5.10957540704335,3.22883604570575e-07,0.0289908033508071
"MSTRG.48958",453.420095936,3.65968413994525,0.430366415883285,8.50364713620626,1.8372541828301e-17,3.56955256224887e-06
"MSTRG.45081",487.496914962327,-1.31978946511136,0.281204894585361,-4.69333745793222,2.6878356418904e-06,0.0584110741686676
"MSTRG.51162",307.202643534229,1.80736800358148,0.29234456978827,6.18232110447773,6.31658750866404e-10,0.00298196507165774
"MSTRG.636",278.728606425845,4.32795474658098,0.370406754362164,11.6843299848397,1.53283518779989e-31,1.06045394687726e-11
"MSTRG.31672",4715.06310514785,2.91935468351786,0.579098868722038,5.04120253241096,4.62615534141422e-07,0.0329139848219948
"MSTRG.36946",92.6865604061231,4.69535608217499,0.639494880876502,7.34228876975444,2.09971749635218e-13,0.00014604882577036
"MSTRG.23852",718.099029848898,1.59898194450231,0.312507425704261,5.11662063996998,3.11058358849841e-07,0.0286048489717513
"MSTRG.52593",119.510830107025,1.70731099930988,0.364906014817252,4.67876913501936,2.88602170470256e-06,0.0597481395924153
"MSTRG.12060",628.491373770309,1.76198706573004,0.343996849001606,5.12210234147177,3.02147815016802e-07,0.0284044849016276
"MSTRG.46363",43.0843839583876,7.18342800263819,1.00159211941307,7.17200930738917,7.39049161879893e-13,0.000240066922994483
"MSTRG.46362",78.7539428242518,-2.6465930352147,0.511571465800529,-5.17345710647328,2.2980189582394e-07,0.0257621953763156
"MSTRG.14620",2452.10056313408,3.14723869713022,0.340784573241795,9.23527337869599,2.57627288016366e-20,2.59398395589287e-07
"MSTRG.38829",40.3219178361023,-5.5928919755184,0.847515161214921,-6.59916451229137,4.13481290070676e-11,0.00110771409714413
"MSTRG.44065",289.872440722766,2.2894078668245,0.519046887185444,4.41079201772872,1.02993207381695e-05,0.0909767759266372
"MSTRG.35112",541.340107513375,4.26511498192146,0.844855899515693,5.04833425956592,4.45678876273886e-07,0.0324675046907107
"MSTRG.35113",60.6422593944608,3.31884375760684,0.763580649635534,4.34642203045738,1.38376207779711e-05,0.0992823009702685
"MSTRG.26616",68.6679197735616,7.81857317302089,0.96851194916588,8.07276893150833,6.87215876243103e-16,1.55079936920628e-05
"MSTRG.6055",702.390800415569,1.60186342345869,0.238894823875691,6.70530820831942,2.0098170715866e-11,0.000846000502026767
"MSTRG.46160",777.095450816735,2.2513766071184,0.398018826200536,5.65645758169257,1.54529147222778e-08,0.00966101712584846
"MSTRG.15996",1716.96985552916,3.72857265343667,0.766782321867685,4.86262208595893,1.15840885254391e-06,0.0445252500128915
"MSTRG.12542",46.1252689009053,4.36702684043343,0.922075075897426,4.73608598105002,2.1788517920451e-06,0.0543804727132901
"MSTRG.45454",63.4596263571013,-2.65632012752446,0.51785802524746,-5.12943702331373,2.90609970342992e-07,0.0280965852306093
"MSTRG.14113",42.6193649745858,-3.78408365077708,0.611844947325227,-6.18471014154774,6.22166830067126e-10,0.00297612914313679
"MSTRG.49598",20.3976241186864,-5.5847402417154,1.08354664287474,-5.15412998456497,2.54811154747042e-07,0.0267279794131891
"MSTRG.42104",58.9276385881357,-6.82550314206666,1.03163095684999,-6.61622559573807,3.68485901140228e-11,0.00106042850875006
"MSTRG.44193",2556.2026356903,2.25065412094015,0.506294705910073,4.44534397588567,8.77513482144639e-06,0.0864071075038127
"MSTRG.37436",301.099069643661,2.21292697618158,0.444396129477191,4.97962702507101,6.3706928066205e-07,0.0362954840716022
"MSTRG.31166",282.569641230878,1.72161184957961,0.312873161138287,5.50258719321301,3.74258026528976e-08,0.0134323226398677
"MSTRG.17208",90.992315822582,5.05214024871983,0.978441454719857,5.16345686739769,2.42430463611196e-07,0.0263014340523892
"MSTRG.37258",3052.28524635946,3.63918001084025,0.522021244379845,6.97132549684554,3.13968596730375e-12,0.000420582176750271
"MSTRG.38779",253.77492812828,2.50980874530022,0.326091116480155,7.69664863119005,1.39681304908126e-14,5.0145770055568e-05
"MSTRG.53732",381.070015416043,2.14337233186142,0.322742199076151,6.64112823794601,3.11291049208228e-11,0.000995288115933136
"MSTRG.55770",299.21062527712,4.86236655608792,0.568272289759035,8.55640270291855,1.16444028477885e-17,3.00164376684634e-06
"MSTRG.50614",1764.48995565068,2.31667777953018,0.363454458714394,6.37405244036544,1.84097594935424e-10,0.0019454304185568
"MSTRG.50610",111.800531083716,7.26771189030184,0.790402680136029,9.19494843951068,3.7517448110704e-20,2.98318634876963e-07
"MSTRG.9367",1378.62494996209,3.20819964541267,0.599305879701048,5.35319234146847,8.64159058916921e-08,0.0181011287648734
"MSTRG.49293",139.83410330435,4.77510073888308,0.563683125264677,8.4712501135118,2.42773323544634e-17,3.94661023608712e-06
"MSTRG.58026",364.553990274443,3.21464640539481,0.407746924669683,7.88392556976121,3.17253300263974e-15,2.81701252741184e-05
"MSTRG.58022",694.092672007172,5.62574374814376,0.495918930909655,11.3440794402113,7.93569583034702e-30,4.8881705700709e-11
"MSTRG.58021",294.023346590949,2.06611648360771,0.469476776664706,4.4008917720829,1.07806889851147e-05,0.0914491476256587
"MSTRG.58020",242.047431019487,2.16972646509486,0.447149516533852,4.85235113729704,1.22006357458488e-06,0.0454593324273361
"MSTRG.37864",89.1223557341342,5.05899851534944,1.02221395827021,4.94906029644741,7.45726441488503e-07,0.0380568055067911
"MSTRG.22031",142.967945549702,3.82050101684981,0.592069208575237,6.45279464210529,1.09806111898132e-10,0.00161484276526571
"MSTRG.22030",1879.22033077367,3.21193456379072,0.500802645638571,6.41357347402828,1.42147557393353e-10,0.00177994298235724
"MSTRG.23345",1439.88110813109,1.77183540571279,0.235675338321394,7.51811970795398,5.55696122760514e-14,8.71894601719853e-05
"MSTRG.16471",518.404575952728,1.46287678155009,0.308013480374007,4.74939207132681,2.04029048591024e-06,0.0536186193940565
"MSTRG.11291",360.183883547805,5.12205607080907,0.536075832031654,9.55472297901805,1.23914985883301e-21,8.06652487230573e-08
"MSTRG.50057",84.5423796082132,-2.16167381618613,0.471786636588894,-4.58188860925659,4.60795339770956e-06,0.0698751899981883
"MSTRG.43360",64.6914206716085,2.17431767671046,0.459542486514167,4.73148346566087,2.22884975058849e-06,0.0548743489097702
"MSTRG.41072",1264.09565653318,1.1589251110193,0.241073680215768,4.8073481517436,1.5294550755138e-06,0.0484430545495833
"MSTRG.21941",103.269638720569,3.51366383452151,0.66715910087608,5.2666055666595,1.38969347114389e-07,0.0214508566922949
"MSTRG.47558",129.160067311103,-1.77854375284546,0.370597457955431,-4.79912561369849,1.59359827210842e-06,0.0489945361562305
"MSTRG.39518",646.320228393012,4.07022721481313,0.576163844816727,7.06435721614542,1.61361163508879e-12,0.000326690129040043
"MSTRG.39519",405.868150965212,-1.93320857920989,0.305190183895457,-6.33443892111585,2.38206508798121e-10,0.00214048095496311
"MSTRG.1869",99.3644694615908,-3.27147056780755,0.474805484449755,-6.89012801020782,5.57422048416729e-12,0.000515396630455233
"MSTRG.36568",1514.28522331281,1.35062022560359,0.224890402839193,6.00568191684616,1.90529399810064e-09,0.00449988398623552
"MSTRG.8383",960.995941719314,1.38079682229211,0.30856003072361,4.47496981074954,7.64221099469023e-06,0.0827550844918836
"MSTRG.40317",706.43987616004,-1.3680292290177,0.23068421201024,-5.93031147253796,3.02360566848391e-09,0.00539046621209606
"MSTRG.51612",422.694551703513,-1.79488324249725,0.329863235486223,-5.44129520785052,5.28945761902195e-08,0.0152380368601893
"MSTRG.5153",39.3607465436059,-6.56380702908278,1.01785537447278,-6.44866372345151,1.12840621048689e-10,0.00162835045227775
"MSTRG.21353",1037.80994376565,2.45824743460248,0.388737087218173,6.32367611794866,2.55412789652628e-10,0.00217641909096223
"MSTRG.34055",224.47769724436,-2.38167842692937,0.51191668972404,-4.65247270647352,3.27978160684309e-06,0.0624242668672763
"MSTRG.7446",54.8570597772492,3.44902702604552,0.642455580377892,5.36850660401581,7.93912846318613e-08,0.0175861563814174
"MSTRG.23440",658.889531031176,2.0715661828751,0.368492339719125,5.62173472711563,1.89049406061695e-08,0.0104167529064126
"MSTRG.37583",36.9273327147066,2.51382194039886,0.549451226581039,4.57515029321368,4.75878241174579e-06,0.0705626817832993
"MSTRG.14270",54.9326586836944,-4.53984413593032,0.98494939884365,-4.60921560159353,4.04191015278911e-06,0.0673428542559774
"MSTRG.49654",142.75781231475,-2.33031640218206,0.494443362300339,-4.71300978000906,2.44084477368926e-06,0.0564866665417286
"MSTRG.49652",422.157873189889,3.21605713008649,0.442179757852273,7.27318940538416,3.5109749117801e-13,0.000178689714487641
"MSTRG.3730",4812.9542372547,1.30768840730188,0.261902337618325,4.99303831799929,5.94367595292806e-07,0.0353350025961748
"MSTRG.22451",146.224182996532,-4.97371023307978,0.992539541479758,-5.01109530171923,5.41211017902562e-07,0.0343181791235505
"MSTRG.55118",175.199656484186,-2.25698436811062,0.370655412058139,-6.08917149105757,1.13496494949844e-09,0.00370077749808808
"MSTRG.50695",1050.54144583512,1.35183449697083,0.294812195185835,4.58540901307933,4.53098560703512e-06,0.0696052785257504
"MSTRG.15661",49.8465263904018,2.89964904677156,0.655592355225581,4.42294517875185,9.7364453306946e-06,0.0891610134152318
"MSTRG.39720",62.6591107662466,6.11997517561161,0.784018846632379,7.80590313855201,5.90769414837915e-15,3.47527046583051e-05
"MSTRG.44323",24.911057045036,-4.71858249363078,0.949511824644415,-4.96948260270256,6.71317934490113e-07,0.0368640453153594
"MSTRG.35206",228.915868134738,1.44207555311286,0.304353008226017,4.73816756902879,2.15659451332573e-06,0.0543012423036633
"MSTRG.33662",17.7215274017876,5.52486934788908,1.12902762760761,4.89347577755576,9.90705127292993e-07,0.0422457226619221
"MSTRG.44524",99.1935510196134,6.14817552358275,0.835626632194137,7.35756291950539,1.87298132778078e-13,0.000141378491468303
"MSTRG.19889",86.506303004624,3.69823785723049,0.602251581595923,6.14068600273398,8.21658598195269e-10,0.00327802313452712
"MSTRG.27376",71.9012336526546,4.52211423951683,0.869436535866453,5.20120106870162,1.98004745432256e-07,0.024463036619288
"MSTRG.9001",294.006498683,-1.45829752119697,0.32226420086731,-4.5251613963706,6.03494323548015e-06,0.0765397665708001
"MSTRG.54572",23.610484300056,5.93163945930865,1.10467378987966,5.36958468069999,7.891817417627e-08,0.0175861563814174
"MSTRG.236",19.719194472181,5.39311320991185,1.14948908711715,4.691748073431,2.70880557067941e-06,0.0584330587054124
"MSTRG.29713",298.87298276068,7.71195561027787,0.821874907668539,9.38336909707443,6.38976294630776e-21,1.57279989258396e-07
"MSTRG.24991",24.6914487438852,-5.84491137013345,1.06754727513308,-5.47508434172605,4.37303278097105e-08,0.0141924043175664
"MSTRG.46424",143.452591260851,3.2270031491056,0.461176339892852,6.99733024000179,2.60885866535991e-12,0.000395153093285349
"MSTRG.33143",15.2819595208723,-5.23612926871717,1.09851901578986,-4.76653493790664,1.87421242339615e-06,0.0519396136472518
"MSTRG.33141",15.8003557413431,-4.19127180727368,0.965286305490347,-4.34199862096312,1.41192419697847e-05,0.099877838434429
"MSTRG.40392",443.452078450823,7.53772285170302,0.625113304448524,12.0581705717379,1.75641058280519e-33,1.71040959173752e-12
"MSTRG.40394",141.469999927275,3.21468818898529,0.561034954012144,5.72992496456061,1.00475069603428e-08,0.0083586907919536
"MSTRG.56991",331.344819820501,5.44805561669988,0.924919339267151,5.89030349502323,3.85487004851801e-09,0.00589957133671418
"MSTRG.30438",585.852612603077,2.00900549998761,0.447362124096839,4.49078138665294,7.09623575551348e-06,0.0809579432872206
"MSTRG.6463",86.7091922480294,8.23665367475477,0.937613589966479,8.7846995424301,1.56783033740525e-18,1.43635954809805e-06
"MSTRG.37911",83.215129785478,-3.6332024572852,0.820774456882259,-4.42655400252835,9.57504194825247e-06,0.0888983062860304
"MSTRG.4242",68.6359771982902,-2.19636490440714,0.459220882401338,-4.78280711652746,1.72863984511503e-06,0.0504109607354244
"MSTRG.15376",45.6526768195057,-4.88952551336753,0.888918421622313,-5.50053345102686,3.78643905426911e-08,0.0134714886916897
"MSTRG.41996",1714.56823584344,1.52227108062181,0.267353021177457,5.69386152405361,1.24197827075801e-08,0.00902831074255291
"MSTRG.38451",532.386601187332,1.37954997130619,0.262060501746544,5.26424227272695,1.40768718326995e-07,0.0215336794580342
"MSTRG.35756",1771.00851834544,4.46845971603138,0.356158202519144,12.5462777058776,4.16639365980835e-36,6.41403596901569e-13
"MSTRG.31996",278.567750637396,4.53462644910041,0.833210377401239,5.44235474268071,5.25808325360896e-08,0.015233320546934
"MSTRG.53159",352.440154414112,4.59096610072137,0.721966402588377,6.35897471719175,2.03104830263134e-10,0.00201347887739952
"MSTRG.27418",346.953547618021,2.12516786375313,0.411267490537219,5.16736166278818,2.37421572937874e-07,0.0261008792288677
"MSTRG.24038",1127.25865197685,2.56568923337959,0.398536640611306,6.43777502977929,1.2123751299713e-10,0.00166885909943535
"MSTRG.48228",75.4552060604512,-6.55455665961947,1.08795870174113,-6.02463737743886,1.69489191177414e-09,0.00429218798610307
"MSTRG.42341",1413.8150352643,1.24500810008093,0.222364758232367,5.59894521945749,2.15659926067045e-08,0.0109487026802811
"MSTRG.55014",304.379527261651,1.97276787682123,0.296157299011853,6.66121646639638,2.71570302874189e-11,0.000948104087383567
"MSTRG.43125",41.6068096443144,-4.82843096532347,1.05960328027601,-4.55682900874535,5.19316666159078e-06,0.0725032844835302
"MSTRG.52939",552.057336833248,3.41057403718902,0.400108281280789,8.52412758434144,1.53965845495402e-17,3.33148062828337e-06
"MSTRG.14672",207.841706598943,3.76465424560459,0.545437272681695,6.90208468353347,5.12448695217864e-12,0.000503740977021926
"MSTRG.44206",716.269031948961,3.53831986045169,0.31117291125353,11.3709122243254,5.83742941915782e-30,4.50407859157546e-11
"MSTRG.13873",1548.41280444309,2.61833420676287,0.50088023520294,5.22746561501275,1.71849344692017e-07,0.0234117959016445
"MSTRG.32475",13.0427371935702,4.81556220039478,1.02751537129871,4.68660842933008,2.77769686417999e-06,0.058948783059969
"MSTRG.45152",1231.17628438423,2.74372150706904,0.429926689204878,6.38183573144384,1.74977606639481e-10,0.00191823544152379
"MSTRG.12673",6156.47162392791,1.52890298064152,0.245175033448298,6.23596521692302,4.49000867899355e-10,0.00264604330900527
"MSTRG.34739",1005.69076632395,7.52698242685845,0.666321415126362,11.2963237500494,1.36826732048309e-29,5.41111398113323e-11
"MSTRG.34731",526.01018860748,3.99524493248815,0.7381003541386,5.41287497030237,6.20207977857318e-08,0.016137353138531
"MSTRG.7947",12.151036484592,5.3604622981268,1.11118280029087,4.82410481580854,1.40633451245563e-06,0.0469840305636357
"MSTRG.35129",127.338376362397,2.79622441297118,0.624757543544962,4.47569531870718,7.61630341437967e-06,0.0827550844918836
"MSTRG.35128",893.025145713071,2.68123290182376,0.523907504829733,5.11776005708326,3.09185588390198e-07,0.0285797488092284
"MSTRG.21198",78.6035042703581,1.90734993149651,0.40513673895526,4.70791648374092,2.50261588911817e-06,0.0569794302997187
"MSTRG.21227",206.047961242849,1.28116482151685,0.293984951338337,4.35792653904385,1.31300436403305e-05,0.0979991467797618
"MSTRG.22559",182.388555764231,-1.75242856041843,0.362724355677261,-4.83129553610035,1.35647475991563e-06,0.0466952230052686
"MSTRG.26648",79.1147014176905,5.19215817210974,0.684003709935354,7.59083334884318,3.17854543066537e-14,6.89117095184074e-05
"MSTRG.26649",468.270565285742,10.2643418576842,0.875355672491002,11.725910027492,9.3886597138898e-32,9.16290852716526e-12
"MSTRG.40268",293.019586617963,3.1056264460729,0.32432829003136,9.57556445591785,1.01302423008259e-21,7.50409900638102e-08
"MSTRG.14074",26.6737776062602,5.11641482366434,0.958203937393078,5.33958860321971,9.31577330223469e-08,0.0186160347842875
"MSTRG.20025",45.2916407623693,5.62219846340502,0.989367815391166,5.68261709744638,1.32649030491404e-08,0.00917214664270952
"MSTRG.22288",596.174546755445,1.61892177487345,0.282042334353897,5.73999565909878,9.46789779381191e-09,0.00822286707867287
"MSTRG.37160",1397.35992710489,7.12994608026947,0.591667164858227,12.0506029466379,1.92536353108715e-33,1.71040959173752e-12
"MSTRG.466",100.408331001074,2.17095137991594,0.465818622674852,4.66050791926215,3.15430023573532e-06,0.0614767803215627
"MSTRG.10767",167.581692503105,3.29468137085883,0.431111722438824,7.64229131191475,2.13389696003513e-14,5.85619074857002e-05
"MSTRG.25897",548.3202538583,1.475812317747,0.327885217502914,4.50100290884227,6.76335802141866e-06,0.0799572635951536
"MSTRG.55355",46.3708276149138,5.58497157322889,0.909108641655693,6.14334889948619,8.07995335378798e-10,0.00326386285382842
"MSTRG.8193",439.812377905565,1.74860797290982,0.317948715793894,5.49965414561804,3.80536912018192e-08,0.0134714886916897
"MSTRG.36936",431.342506454557,1.39825307727503,0.305221259108492,4.58111299769592,4.62507843308715e-06,0.0698751899981883
"MSTRG.29347",78.419085846937,4.32756721258554,0.922201535517611,4.69264802314233,2.69691266264617e-06,0.0584110741686676
"MSTRG.29340",27.6518215987198,6.27684996562765,1.07663506567743,5.83006272573724,5.54065448601947e-09,0.00676550018473211
"MSTRG.35269",12.0947045457888,5.3343019204478,1.11438038203352,4.78678735416515,1.69472228453844e-06,0.0501793122183466
"MSTRG.55548",590.618370541942,3.09665269594835,0.365616458556587,8.46967532089117,2.46077977347436e-17,3.94661023608712e-06
"MSTRG.22061",174.791228577664,-1.57539417710127,0.314869298834732,-5.00332735814985,5.63491310371363e-07,0.0347175982756307
"MSTRG.10040",1524.98023885779,1.46228994977628,0.329185101111835,4.4421510719572,8.90639900561257e-06,0.0867935072743223
"MSTRG.5811",1215.76569221831,4.62416473103227,0.631565855873538,7.32174592408333,2.44765257373475e-13,0.000155228936900726
