,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MSTRG.3644,270.4121344,-1.849387635,0.278741665,-6.634772871,3.25E-11,0.001033027
MSTRG.11806,226.6595307,1.183278691,0.196013327,6.036725709,1.57E-09,0.004414026
MSTRG.51638,231.0987733,1.847540191,0.312925332,5.904092764,3.55E-09,0.006002823
MSTRG.4916,220.1416525,1.166960154,0.215304145,5.420054292,5.96E-08,0.016314176
MSTRG.42774,356.1790509,-0.851980318,0.158693632,-5.368711439,7.93E-08,0.018313216
MSTRG.45888,131.5683296,3.120956184,0.334957699,9.317463658,1.19E-20,2.13E-07
MSTRG.426,46.35792037,2.137994057,0.259505981,8.238708222,1.74E-16,9.30E-06
MSTRG.55223,687.3685805,2.014609374,0.275703248,7.307165903,2.73E-13,0.000152184
MSTRG.26342,378.4058965,3.084471432,0.436851587,7.060684965,1.66E-12,0.000313952
MSTRG.12652,225.3578136,0.888620367,0.166246663,5.345192206,9.03E-08,0.019196499
MSTRG.14914,163.5980673,2.329138425,0.258360881,9.015058365,1.97E-19,6.60E-07
MSTRG.31348,207.0537628,-0.654912771,0.130308616,-5.025859294,5.01E-07,0.032871976
MSTRG.14585,71.13107651,-1.166260374,0.234316241,-4.97729209,6.45E-07,0.035954552
MSTRG.13066,324.8837632,1.65414805,0.192803306,8.579458976,9.53E-18,3.07E-06
MSTRG.13065,118.936724,1.253116645,0.236506658,5.298441312,1.17E-07,0.020833251
MSTRG.33524,355.6980336,-0.832997302,0.159109537,-5.235370025,1.65E-07,0.023493798
MSTRG.7312,67.79843865,1.729207272,0.28294311,6.111501617,9.87E-10,0.003754673
MSTRG.7316,60.90540138,2.717597586,0.526512285,5.161508414,2.45E-07,0.026761413
MSTRG.55933,90.40079741,3.029077155,0.526169538,5.756846295,8.57E-09,0.008168583
MSTRG.31529,363.2657721,-0.72492404,0.138174279,-5.24644708,1.55E-07,0.023031123
MSTRG.42940,1089.684956,1.64080975,0.274124377,5.985639681,2.16E-09,0.005025948
MSTRG.44471,189.6465647,4.89900491,0.780417288,6.277417204,3.44E-10,0.002560966
MSTRG.36687,333.0856975,-0.938770744,0.192721306,-4.87113108,1.11E-06,0.042948316
MSTRG.8554,34.77802593,3.323828796,0.450839741,7.372528408,1.67E-13,0.000126685
MSTRG.41953,131.2991447,-0.817441564,0.153008086,-5.342472988,9.17E-08,0.019241401
