"","baseMean","log2FoldChange","lfcSE","stat","pvalue"
"MSTRG.58113",20.0284179138942,-0.573117570704531,0.687667672818026,-0.833422295912101,0.404606604571752
"MSTRG.58111",32.6691323119192,1.18717222576471,0.463483338593784,2.56141295039128,0.0104247362345085
"MSTRG.57557",30.2039841737987,-0.642383255857206,0.542238403496176,-1.18468786370594,0.236140882686181
"MSTRG.57550",140.868757917739,0.260359156290386,0.35529455769867,0.732798042212626,0.463681615573784
"MSTRG.57558",59.2839232296072,2.3014742043753,0.390657879853829,5.89127808003369,3.83220046171038e-09
"MSTRG.57559",21.674045841258,0.557917129320224,0.660032171944138,0.84528777995301,0.397950182199533
"MSTRG.56604",68.2082314804332,0.0509735878620633,0.696292290417287,0.0732071696952365,0.941641261107604
"MSTRG.56606",34.1289051321919,0.0739519400137859,0.519341277458104,0.142395652384384,0.886767496289587
"MSTRG.56603",128.493148860213,-0.228202306062062,0.61656898283525,-0.370116422355029,0.711295746362019
"MSTRG.56608",77.3385104361588,0.214936305920711,0.383278960533687,0.560782949373033,0.574945511638777
"MSTRG.20438",76.1834834703151,-0.24701807534853,0.533828551004982,-0.462729231854489,0.643558462490322
"MSTRG.43179",35.6510573314924,1.21268985955967,0.463941448991569,2.61388557154269,0.00895190124663597
"MSTRG.43178",2469.70765151753,-0.195756692164299,0.259983442127624,-0.752958305968592,0.451474969131315
"MSTRG.19848",28.1124175559175,0.494326126116588,0.682304829540159,0.724494543662749,0.468762175756498
"MSTRG.19846",291.650375432673,-0.733515330020061,0.247871031319298,-2.95926202475503,0.00308376774945421
"MSTRG.43177",42.9426160473675,-0.325661714655813,0.684881163740529,-0.475501053171309,0.634429882753057
"MSTRG.19842",34.1224276978888,-0.0757743789845702,0.584003569918217,-0.129749855801706,0.896764336702594
"MSTRG.19843",11247.450781242,-0.0141509876557633,0.164620268214063,-0.0859613935105616,0.931497107099018
"MSTRG.43172",18.0531298199354,0.351164891251516,0.608096549945422,0.577482130564683,0.56361380656721
"MSTRG.15172",17.2450725807434,-0.0136693275155934,0.629532506444381,-0.0217134578050595,0.98267652852818
"MSTRG.15171",40.8953986775651,-1.68349270321803,0.519249510766626,-3.24216521789785,0.00118625229953008
"MSTRG.32270",17.9667290921126,-0.19790041202208,0.697495819751359,-0.283729889725543,0.776617386955713
"MSTRG.15177",68.1571639818494,0.406511353165942,0.349811217529558,1.16208781421251,0.245199796752172
"MSTRG.10525",91.1946401726229,0.130014268000241,0.318820635571828,0.407797530944166,0.683422326456857
"MSTRG.10529",18.9934931827055,-0.423695759231884,0.663939701566311,-0.638153974272569,0.523373454548274
"MSTRG.5663",40.0355225460655,-0.570248072077116,0.633299174776273,-0.900440257605845,0.367886005001811
"MSTRG.5666",71.0182887560247,1.56168748365478,0.583925209588006,2.67446491093721,0.00748486085187511
"MSTRG.5667",16.6097656050232,-0.00315478951848181,0.643775665818932,-0.00490044853507887,0.996090023422145
"MSTRG.38305",118.328228593773,1.33614933913736,0.392921511969745,3.40055023314743,0.00067250378338079
"MSTRG.38309",122.748145803006,-0.644541809764974,0.441528339769741,-1.45979714484716,0.14434583349427
"MSTRG.3840",440.963427757756,0.079928964680294,0.340217440247805,0.234934942259503,0.814259228456061
"MSTRG.3846",41.353355415352,-0.691658272503102,0.517863350756742,-1.33559996375955,0.181680061998884
"MSTRG.3847",20.1846440780514,0.509747209335317,0.666908394180931,0.76434366966001,0.44466246791863
"MSTRG.18718",351.448763997331,0.108887259618309,0.259306566250027,0.419917093473516,0.674546020069789
"MSTRG.37643",26.7734051895821,-1.26064959170139,0.703687881779968,-1.79148969925785,0.0732147461245482
"MSTRG.18714",226.35285928533,-0.0421997309280668,0.227513761639813,-0.185482102813961,0.852850916591466
"MSTRG.18717",42.4138920297888,-0.276624887844846,0.476964565973204,-0.579969472743573,0.56193520433659
"MSTRG.11395",19.2399291491151,-0.527775176070111,0.698151711485144,-0.755960584766598,0.449672827851358
"MSTRG.18711",436.057667622825,1.39972890033791,0.273276355611407,5.12202710405101,3.02268428903315e-07
"MSTRG.18710",3316.08076026098,-0.380170198588487,0.187104688879247,-2.03185821192241,0.04216801203653
"MSTRG.18713",223.009289982084,0.284369278794157,0.260034912724593,1.09358114960254,0.274138720385041
"MSTRG.6310",241.326164783578,-0.15850118651654,0.431726076110022,-0.367133687973359,0.713519299811059
"MSTRG.6313",21.8356426695854,-0.518761877476148,0.550660879828015,-0.942071420868268,0.346156075217393
"MSTRG.6312",308.820402864839,0.464275794388525,0.252423335731453,1.83927445948364,0.0658748276753315
"MSTRG.6317",20.0814295988402,0.361110274376317,0.681531811768537,0.529850944799269,0.596215280125158
"MSTRG.6316",37.6148920115833,-0.198849060269949,0.701608695530791,-0.283418751130946,0.776855856093524
"MSTRG.33379",23.2809535867955,-0.448751914010886,0.575010788588118,-0.780423468423526,0.435141658565973
"MSTRG.57624",213.430653889631,-0.23892091143641,0.36589921924211,-0.652969175313598,0.513776150882296
"MSTRG.43825",101.071878560421,-0.394138787651967,0.298076777217183,-1.32227270883566,0.18607735711048
"MSTRG.58936",113.157382104975,0.822314730415085,0.703827779217087,1.16834651131531,0.242667021229591
"MSTRG.44304",113.797957191867,0.760297766677544,0.394339120379535,1.92803028506476,0.0538513593142396
