"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.28358.1",50.6604348633865,0.65494655280738,0.86081317448237,0.760846339510565,0.446748852549843,0.999958613450093
"MSTRG.29257.1",10.8704140578259,1.00113705522475,1.10072704227308,0.909523448390374,0.363073886198153,0.999958613450093
"MSTRG.43179.1",13.339924688744,1.08334979610855,1.11643390336599,0.970366264265452,0.331863958191921,0.999958613450093
"transcript:EKC36261",290.991855086292,0.213619444648861,0.375754273987485,0.568508356224247,0.569689833275783,0.999958613450093
"transcript:EKC36260",129.400855983025,-0.415507039324272,0.479758919073913,-0.86607465292429,0.386449224226773,0.999958613450093
"MSTRG.54732.3",86.1311487320999,0.415136668989751,1.03145449174007,0.402476960752203,0.687333040761815,0.999958613450093
"transcript:EKC30812",5205.21808386301,-0.166756631211598,0.42513879961909,-0.392240443264663,0.694880564096273,0.999958613450093
"MSTRG.9272.1",33.3177010237977,0.437535632920674,0.740625555837026,0.590764968170979,0.554677910417027,0.999958613450093
"MSTRG.52540.1",119.270991221302,-0.698255249573064,0.428647640036723,-1.62897257410129,0.103318824987342,0.773828923909969
"MSTRG.50210.3",49.2951098857256,0.188154210223264,0.619051234926118,0.303939641192574,0.761173876223077,0.999958613450093
"MSTRG.8388.1",108.601438209865,-0.132371562649111,0.410084900397283,-0.322790628284221,0.74685381095938,0.999958613450093
"MSTRG.59072.2",15.272051235077,-2.63021281402827,1.85635700271448,-1.41686798939116,0.156521526997858,0.86573206483865
"MSTRG.43172.1",140.11313103737,0.0381280005840878,0.894200457185314,0.042639209449863,0.96598913927727,0.999958613450093
"MSTRG.56885.20",23.500484373233,-7.31149438210433,5.28752469348335,-1.38278207780579,0.166731695949113,0.884565702433866
"transcript:EKC33376",1356.23614978987,-0.705264934251174,0.618618576805747,-1.14006426689096,0.254259527518342,0.945846694863246
"transcript:EKC18151",52.9703635783039,1.79723618210456,0.98940951394466,1.81647351958361,0.069297766392524,0.681030932325007
"transcript:EKC33371",105.429678513941,-0.175958296033746,0.448339463444029,-0.39246666952331,0.694713433815634,0.999958613450093
"transcript:EKC18158",26.3971373143592,-7.4788717101473,2.25658738427062,-3.31423979513412,0.000918926634502261,0.071175877926038
"MSTRG.57538.1",455.534775942463,0.870037531428551,4.04532459604908,0.21507236583148,0.82971089862118,0.999958613450093
"MSTRG.57538.2",251.564390267966,-5.70018985021589,3.66154624882854,-1.55677122801319,0.11952481060413,0.804843821609686
"MSTRG.8897.7",16.6913572630244,-6.81762187614351,5.28794602925065,-1.28927599457925,0.197302153439209,0.923628848474248
"MSTRG.8897.4",15.1600563533003,0.637927856379197,2.31439087729047,0.275635314085769,0.782828183248098,0.999958613450093
"MSTRG.44312.1",134.719881406637,0.0379163252454599,0.825477482457569,0.0459325978615157,0.963363972251682,0.999958613450093
"MSTRG.26084.1",12.5591980519389,-0.0837893097754845,2.15907174892629,-0.0388080247065217,0.969043446865133,0.999958613450093
"MSTRG.8897.9",19.2715565815059,2.00016776293789,3.37048393654826,0.593436373112131,0.552889152672647,0.999958613450093
"MSTRG.8897.8",28.6697355630506,-0.235152612874501,1.68781938757554,-0.139323327250249,0.889194657168126,0.999958613450093
"transcript:EKC36483",683.893694458701,-12.1744419960891,4.04226009351483,-3.01179085819369,0.00259711463059319,0.136750777618912
"transcript:EKC36487",56.7519494263506,-0.441512229581176,0.510477515115631,-0.864900444206964,0.387093433770885,0.999958613450093
"transcript:EKC36486",47.9302285448691,0.234068199386295,1.67260206438186,0.139942550813961,0.888705381372607,0.999958613450093
"transcript:EKC36485",12.5020968120872,-6.40034882776136,5.28843347864272,-1.21025419977562,0.226181366271919,0.932903997306835
"transcript:EKC36488",14.8268134708217,-2.58713047943643,2.04342988611905,-1.26607254646255,0.205487110438416,0.927060011314017
"transcript:EKC23306",624.690984282626,-1.12614134989049,0.977369025278692,-1.15221714701812,0.249231853242729,0.941678845328231
"transcript:EKC30887",134.493415562121,0.137364658802355,1.22033627037463,0.112562956733382,0.91037705458674,0.999958613450093
"MSTRG.27333.2",26.8742948035466,1.42904528586368,3.2105920867723,0.445103347681997,0.656245069667437,0.999958613450093
"MSTRG.27333.1",68.2610290391236,0.732088149436223,0.711262004931411,1.0292805525396,0.30334785915477,0.989119013085133
"MSTRG.59147.1",61.8966175964284,0.0163755352850185,0.415988661059857,0.0393653404958126,0.968599112756668,0.999958613450093
"MSTRG.42200.1",338.974931860093,0.105499482237771,0.393904133911376,0.26783035047179,0.788829907615775,0.999958613450093
