"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.57558",59.2839232296072,2.3014742043753,0.390657879853829,5.89127808003369,3.83220046171038e-09,1.46849921692742e-06
"MSTRG.19846",291.650375432673,-0.733515330020061,0.247871031319298,-2.95926202475503,0.00308376774945421,0.0910021726686729
"MSTRG.15171",40.8953986775651,-1.68349270321803,0.519249510766626,-3.24216521789785,0.00118625229953008,0.0467727852131469
"MSTRG.38305",118.328228593773,1.33614933913736,0.392921511969745,3.40055023314743,0.00067250378338079,0.0305335840985212
"MSTRG.18711",436.057667622825,1.39972890033791,0.273276355611407,5.12202710405101,3.02268428903315e-07,5.97058051318301e-05
"MSTRG.34748",1193.61492772811,-0.712121009346401,0.178216755094309,-3.99581402416153,6.44723332125229e-05,0.00564184233308067
"MSTRG.16051",235.06811419887,2.2017283749928,0.523776793448211,4.20356228556449,2.62746807398699e-05,0.00275094471571534
"MSTRG.16052",215.926168929721,2.70671132105789,0.570259857405774,4.74645249162594,2.07015319691442e-06,0.000312244226289281
"MSTRG.22580",67.8924143891756,1.5709097194464,0.522928657539167,3.00406125538977,0.00266401683091668,0.0823729152657352
"MSTRG.11054",22.4471234356457,-2.21225730938911,0.622653819328136,-3.55294907172691,0.000380938206616708,0.0203304291644935
"MSTRG.27253",141.409668363216,-0.986963287619114,0.332364422158807,-2.96952147046453,0.00298263968514574,0.0892927755740505
"MSTRG.17041",413.356295299592,0.800867888676425,0.231578291894593,3.45830294421964,0.000543589766970431,0.0263009594322057
"MSTRG.58309",110.400438558577,2.29005247015601,0.617614324644012,3.70790051133606,0.000208984725309805,0.013619548765088
"MSTRG.56410",916.847178894043,-0.655305559729321,0.222654088003822,-2.94315530248908,0.00324885393750822,0.0938843237359373
"MSTRG.7741",54.393059574805,1.53460478284824,0.418612908144709,3.66592800410671,0.000246443257468543,0.0148485937518782
"MSTRG.30934",1360.48311934517,-0.898804929382017,0.186803273370965,-4.81150524379259,1.49797803639646e-06,0.000235256222765215
"MSTRG.20221",677.729651520502,-0.541426994471866,0.185457879371261,-2.91940680173531,0.00350698241417481,0.0981229760222058
"MSTRG.431",193.040051274901,1.860799517699,0.388709122768591,4.78712592193723,1.69186688610723e-06,0.00026354609380337
"MSTRG.28680",8299.30515714737,-0.881091134245486,0.302291674646651,-2.91470526032645,0.00356024602171761,0.0989874596569194
"MSTRG.54552",19.2665238459801,-1.868415929358,0.607121776694715,-3.07749779546701,0.00208746382584225,0.0693204686635931
"MSTRG.48919",239.337535950856,-1.94478598889087,0.374989782897953,-5.18623727255021,2.14585386463236e-07,4.42092043509204e-05
"MSTRG.45083",400.767635717072,0.806357653804667,0.24462898353716,3.29624741167343,0.000979856818132348,0.0405530396891164
"MSTRG.34255",19.3649562790725,-2.7987599443094,0.703827331884211,-3.97648658630074,6.9940942100471e-05,0.00598244844037957
