,Tech_rep,Condition,Family,Time,Lib_prep_date,TruSeq_kit,LogConc,Sample_ID,Sample_name
DP63_TGACCA_TechRep1,Rep1,Injected,LB,36h,12_15_2020,A,6.11,LB36,LB36_36h_Injected
DP63_TGACCA_TechRep2,Rep2,Injected,LB,36h,12_15_2020,A,6.11,LB36,LB36_36h_Injected
DP67_TGACCA_TechRep1,Rep1,Injected,LB,36h,12_15_2020,A,4.99,LB43,LB43_36h_Injected
DP67_TGACCA_TechRep2,Rep2,Injected,LB,36h,12_15_2020,A,4.99,LB43,LB43_36h_Injected
DCS2015_P9_LB46_ACAGTG,NA,Injected,LB,36h,12_17_2020,A,5.24,LB46,LB46_36h_Injected
DCS2015_P10_LB69_AGTTCC,NA,Injected,LB,36h,12_17_2020,A,3.83,LB69,LB69_36h_Injected
DP81_CAGATC_TechRep1,Rep1,Control,LB,7d,12_15_2020,A,0.7,LB129,LB129_7d_Control
DP81_CAGATC_TechRep2,Rep2,Control,LB,7d,12_15_2020,A,0.7,LB129,LB129_7d_Control
DP89_GTGAAA_TechRep1,Rep1,Control,LB,7d,12_15_2020,A,1.13,LB154,LB154_7d_Control
DP89_GTGAAA_TechRep2,Rep2,Control,LB,7d,12_15_2020,A,1.13,LB154,LB154_7d_Control
DP92_GTGAAA_TechRep1,Rep1,Control,LB,7d,12_15_2020,A,1.13,LB160,LB160_7d_Control
DP92_GTGAAA_TechRep2,Rep2,Control,LB,7d,12_15_2020,A,1.13,LB160,LB160_7d_Control
DCS2015_P10_LB165_ACAGTG,NA,Control,LB,7d,12_17_2020,A,0.97,LB165,LB165_7d_Control
DCS2015_P12_LB180_GCCAAT,NA,Control,LB,7d,12_17_2020,A,0.27,LB180,LB180_7d_Control
DP59_TGACCA_TechRep1,Rep1,Injected,LB,7d,12_15_2020,A,5.53,LB21,LB21_7d_Injected
DP59_TGACCA_TechRep2,Rep2,Injected,LB,7d,12_15_2020,A,5.53,LB21,LB21_7d_Injected
DP61_CGATGT_TechRep1,Rep1,Injected,LB,7d,12_15_2020,A,4.39,LB26,LB26_7d_Injected
DP61_CGATGT_TechRep2,Rep2,Injected,LB,7d,12_15_2020,A,4.39,LB26,LB26_7d_Injected
DP65_CGATGT_TechRep1,Rep1,Injected,LB,7d,12_15_2020,A,4.52,LB39,LB39_7d_Injected
DP65_CGATGT_TechRep2,Rep2,Injected,LB,7d,12_15_2020,A,4.52,LB39,LB39_7d_Injected
DCS2015_P9_LB62_GCCAAT,NA,Injected,LB,7d,12_17_2020,A,4.01,LB62,LB62_7d_Injected
DCS2015_P12_LB67_ATGTCA,NA,Injected,LB,7d,12_17_2020,A,4.51,LB67,LB67_7d_Injected
