,condition,time,group_by_sim
SRR796589,Control,No_injection,control
SRR796591,PBS,12h,control
SRR796592,LPS,12h,LPS_M_lut
SRR796593,V_aes,12h,V_aes_V_alg1_V_alg2
SRR796594,V_ang,12h,V_tub_V_ang
SRR796595,V_alg_1,12h,V_aes_V_alg1_V_alg2
SRR796596,V_alg_2,12h,V_aes_V_alg1_V_alg2
SRR796597,V_tub,12h,V_tub_V_ang
SRR796598,M_lut,12h,LPS_M_lut
