,Condition,Time,Sample
SRR5357618,Bacillus_pumilus_RI0695,16_d,Bacillus_pumilus_RI0695_16 d
SRR5357623,Untreated_control,5_d,Untreated_control_5 d
SRR5357617,Untreated_control,16_d,Untreated_control_16 d
SRR5357619,Bacillus_pumilus_RI0695,5_d,Bacillus_pumilus_RI0695_5 d
SRR5357622,Untreated_control,12_d,Untreated_control_12 d
SRR5357626,Bacillus_pumilus_RI0695,12_d,Bacillus_pumilus_RI0695_12 d
